<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190905;160000;78.0000000;78.0000000;78.0000000;78.0000000;50
20190906;190000;78.0000000;78.0000000;78.0000000;78.0000000;10
20190909;180000;79.0000000;79.0000000;79.0000000;79.0000000;10
20190909;190000;78.5000000;78.5000000;78.5000000;78.5000000;10
20190910;150000;78.5000000;78.5000000;78.5000000;78.5000000;10
20190912;170000;78.5000000;78.5000000;78.5000000;78.5000000;10
20190913;130000;79.5000000;79.5000000;79.5000000;79.5000000;10
20190916;110000;77.0000000;79.5000000;77.0000000;79.5000000;30
20190916;120000;79.5000000;109.0000000;79.5000000;105.5000000;9410
20190916;130000;106.0000000;106.5000000;98.0000000;104.0000000;6680
20190916;140000;103.5000000;105.0000000;93.0000000;97.0000000;4550
20190916;150000;97.0000000;105.0000000;97.0000000;105.0000000;2960
20190916;160000;101.5000000;105.5000000;101.5000000;104.5000000;2020
20190916;170000;104.0000000;105.5000000;102.0000000;105.5000000;530
20190916;180000;103.5000000;103.5000000;101.0000000;103.0000000;420
20190916;190000;103.0000000;104.0000000;103.0000000;104.0000000;370
20190917;110000;108.0000000;109.0000000;89.0000000;103.0000000;2300
20190917;120000;97.0000000;97.0000000;85.5000000;87.0000000;3550
20190917;130000;87.0000000;88.0000000;84.5000000;87.5000000;2090
20190917;140000;87.0000000;89.0000000;86.5000000;89.0000000;1350
20190917;150000;88.0000000;89.0000000;87.5000000;89.0000000;180
20190917;160000;89.5000000;91.5000000;87.5000000;91.5000000;250
20190917;170000;89.0000000;91.5000000;89.0000000;91.0000000;140
20190917;180000;91.0000000;91.5000000;89.0000000;90.0000000;210
20190917;190000;91.0000000;91.0000000;90.0000000;90.0000000;70
20190918;110000;91.5000000;95.0000000;85.0000000;93.0000000;690
20190918;120000;91.0000000;91.0000000;87.5000000;87.5000000;160
20190918;130000;88.0000000;90.0000000;86.5000000;88.5000000;460
20190918;140000;88.5000000;88.5000000;88.5000000;88.5000000;20
20190918;150000;88.5000000;88.5000000;88.5000000;88.5000000;1220
20190918;180000;88.5000000;88.5000000;80.0000000;84.5000000;1650
20190918;190000;84.5000000;85.0000000;84.0000000;85.0000000;190
20190919;110000;86.5000000;86.5000000;86.5000000;86.5000000;10
20190919;130000;84.0000000;84.5000000;80.5000000;84.5000000;370
20190919;140000;83.5000000;83.5000000;82.0000000;82.0000000;250
20190919;150000;81.5000000;84.0000000;81.5000000;83.5000000;400
20190919;170000;84.0000000;85.0000000;84.0000000;85.0000000;40
20190919;190000;84.5000000;84.5000000;84.5000000;84.5000000;70
20190920;120000;86.0000000;86.0000000;86.0000000;86.0000000;10
20190920;140000;85.0000000;86.5000000;85.0000000;86.5000000;200
20190920;170000;87.0000000;87.0000000;87.0000000;87.0000000;10
20190923;110000;88.5000000;88.5000000;88.0000000;88.0000000;280
20190923;120000;86.5000000;86.5000000;86.5000000;86.5000000;10
20190923;130000;88.0000000;88.0000000;88.0000000;88.0000000;10
20190923;170000;86.0000000;86.0000000;86.0000000;86.0000000;30
20190923;180000;86.0000000;86.0000000;86.0000000;86.0000000;10
20190924;120000;88.0000000;88.0000000;86.5000000;86.5000000;50
20190924;160000;87.5000000;99.5000000;87.5000000;90.0000000;5370
20190924;170000;87.0000000;88.0000000;85.0000000;86.5000000;1250
20190924;180000;86.0000000;86.0000000;84.0000000;86.0000000;840
20190924;190000;84.0000000;84.0000000;84.0000000;84.0000000;230
20190925;110000;87.0000000;87.5000000;85.5000000;85.5000000;100
20190925;120000;84.5000000;84.5000000;82.5000000;83.0000000;420
20190925;130000;83.0000000;83.0000000;82.0000000;82.0000000;120
20190925;140000;83.5000000;83.5000000;82.0000000;82.0000000;30
20190925;150000;83.5000000;83.5000000;82.0000000;82.0000000;150
20190925;160000;82.5000000;82.5000000;82.5000000;82.5000000;10
20190925;170000;83.0000000;83.0000000;83.0000000;83.0000000;10
20190926;110000;86.5000000;88.0000000;81.5000000;81.5000000;410
20190926;120000;82.5000000;82.5000000;82.5000000;82.5000000;190
20190926;130000;83.5000000;83.5000000;83.5000000;83.5000000;10
20190926;170000;84.5000000;84.5000000;84.5000000;84.5000000;20
20190926;190000;84.0000000;84.0000000;82.0000000;82.0000000;30
20190927;170000;82.5000000;82.5000000;82.0000000;82.0000000;20
20190930;120000;84.5000000;84.5000000;84.5000000;84.5000000;10
20190930;130000;85.0000000;86.0000000;85.0000000;86.0000000;120
20190930;140000;85.5000000;85.5000000;85.5000000;85.5000000;10
20190930;150000;85.0000000;85.5000000;83.5000000;83.5000000;40
20190930;160000;85.0000000;86.0000000;84.0000000;84.0000000;180
20191001;120000;81.0000000;81.0000000;81.0000000;81.0000000;70
20191001;170000;85.0000000;112.0000000;85.0000000;111.5000000;9210
20191001;180000;111.5000000;117.5000000;111.5000000;117.0000000;11820
20191001;190000;117.5000000;117.5000000;117.0000000;117.5000000;20000
20191002;110000;113.0000000;116.5000000;94.5000000;95.0000000;6430
20191002;120000;96.0000000;101.0000000;96.0000000;99.5000000;1540
